product_name,category,price,sales_date,day_of_week,holiday,number_of_items_sold,total_revenue,sales_time,product_id,buyer_gender
Jam jar,Grocery,350,9/2/2022,Friday,FALSE,4,1400,8:41,1091,Women
Bread package,Bakery,55,9/2/2022,Friday,FALSE,18,990,15:41,1011,Men
Eggs,Dairy,134,9/2/2022,Friday,FALSE,13,1742,18:22,1041,Men
Butter,Dairy,285,9/2/2022,Friday,FALSE,10,2850,16:15,1078,Men
Butter,Dairy,285,9/2/2022,Friday,FALSE,15,4275,19:56,1078,Men
Bread package,Bakery,55,9/2/2022,Friday,FALSE,3,165,12:14,1011,Men
Milk packet,Dairy,80,9/2/2022,Friday,FALSE,11,880,9:03,1022,Women
Bread package,Bakery,55,9/2/2022,Friday,FALSE,4,220,16:19,1011,Women
Milk packet,Dairy,80,9/2/2022,Friday,FALSE,10,800,14:11,1022,Men
Milk packet,Dairy,80,9/2/2022,Friday,FALSE,9,720,18:14,1022,Men
Jam jar,Grocery,350,9/2/2022,Friday,FALSE,19,6650,19:30,1091,Men
Butter,Dairy,285,9/2/2022,Friday,FALSE,11,3135,14:21,1078,Women
Butter,Dairy,285,9/2/2022,Friday,FALSE,8,2280,13:17,1078,Women
Eggs,Dairy,134,9/2/2022,Friday,FALSE,13,1742,8:22,1041,Men
Milk packet,Dairy,80,9/2/2022,Friday,FALSE,16,1280,8:00,1022,Women
Eggs,Dairy,134,9/2/2022,Friday,FALSE,11,1474,9:06,1041,Men
Eggs,Dairy,134,9/2/2022,Friday,FALSE,8,1072,19:22,1041,Men
Butter,Dairy,285,9/3/2022,Saturday,TRUE,6,1710,11:34,1078,Men
Jam jar,Grocery,350,9/3/2022,Saturday,TRUE,14,4900,8:08,1091,Women
Butter,Dairy,285,9/3/2022,Saturday,TRUE,15,4275,12:14,1078,Women
Milk packet,Dairy,80,9/3/2022,Saturday,TRUE,19,1520,9:53,1022,Women
Eggs,Dairy,134,9/3/2022,Saturday,TRUE,14,1876,17:09,1041,Men
Eggs,Dairy,134,9/3/2022,Saturday,TRUE,7,938,8:54,1041,Men
Jam jar,Grocery,350,9/3/2022,Saturday,TRUE,15,5250,15:31,1091,Women
Butter,Dairy,285,9/3/2022,Saturday,TRUE,5,1425,7:24,1078,Women
Butter,Dairy,285,9/3/2022,Saturday,TRUE,12,3420,15:54,1078,Men
Jam jar,Grocery,350,9/3/2022,Saturday,TRUE,3,1050,17:25,1091,Women
Eggs,Dairy,134,9/3/2022,Saturday,TRUE,2,268,7:07,1041,Men
Butter,Dairy,285,9/3/2022,Saturday,TRUE,19,5415,11:48,1078,Men
Eggs,Dairy,134,9/3/2022,Saturday,TRUE,11,1474,10:06,1041,Women
Eggs,Dairy,134,9/3/2022,Saturday,TRUE,7,938,13:31,1041,Women
Butter,Dairy,285,9/3/2022,Saturday,TRUE,8,2280,13:22,1078,Women
Butter,Dairy,285,9/3/2022,Saturday,TRUE,5,1425,16:50,1078,Men
Bread package,Bakery,55,9/3/2022,Saturday,TRUE,11,605,9:46,1011,Women
Butter,Dairy,285,9/3/2022,Saturday,TRUE,9,2565,12:52,1078,Men
Butter,Dairy,285,9/3/2022,Saturday,TRUE,19,5415,15:21,1078,Men
Milk packet,Dairy,80,9/3/2022,Saturday,TRUE,15,1200,8:51,1022,Women
Eggs,Dairy,134,9/3/2022,Saturday,TRUE,13,1742,7:40,1041,Men
Jam jar,Grocery,350,9/3/2022,Saturday,TRUE,7,2450,11:16,1091,Women
Butter,Dairy,285,9/3/2022,Saturday,TRUE,9,2565,14:19,1078,Men
Jam jar,Grocery,350,9/3/2022,Saturday,TRUE,7,2450,12:20,1091,Women
Jam jar,Grocery,350,9/3/2022,Saturday,TRUE,4,1400,12:10,1091,Men
Milk packet,Dairy,80,9/3/2022,Saturday,TRUE,3,240,8:17,1022,Women
Jam jar,Grocery,350,9/3/2022,Saturday,TRUE,11,3850,16:32,1091,Women
Jam jar,Grocery,350,9/3/2022,Saturday,TRUE,4,1400,14:18,1091,Women
Eggs,Dairy,134,9/3/2022,Saturday,TRUE,17,2278,10:14,1041,Men
Eggs,Dairy,134,9/3/2022,Saturday,TRUE,5,670,7:05,1041,Men
Butter,Dairy,285,9/3/2022,Saturday,TRUE,18,5130,17:02,1078,Women
Bread package,Bakery,55,9/3/2022,Saturday,TRUE,7,385,19:46,1011,Men
Eggs,Dairy,134,9/3/2022,Saturday,TRUE,4,536,8:24,1041,Men
Jam jar,Grocery,350,9/3/2022,Saturday,TRUE,13,4550,13:01,1091,Women
Bread package,Bakery,55,9/3/2022,Saturday,TRUE,7,385,11:54,1011,Men
Bread package,Bakery,55,9/3/2022,Saturday,TRUE,18,990,16:49,1011,Men
Milk packet,Dairy,80,9/3/2022,Saturday,TRUE,18,1440,9:13,1022,Men
Milk packet,Dairy,80,9/3/2022,Saturday,TRUE,17,1360,8:42,1022,Women
Eggs,Dairy,134,9/3/2022,Saturday,TRUE,14,1876,9:42,1041,Men
Bread package,Bakery,55,9/3/2022,Saturday,TRUE,19,1045,13:21,1011,Men
Butter,Dairy,285,9/3/2022,Saturday,TRUE,3,855,8:57,1078,Women
Eggs,Dairy,134,9/3/2022,Saturday,TRUE,13,1742,18:54,1041,Men
Eggs,Dairy,134,9/3/2022,Saturday,TRUE,15,2010,8:16,1041,Women
Jam jar,Grocery,350,9/3/2022,Saturday,TRUE,9,3150,19:04,1091,Men
Eggs,Dairy,134,9/3/2022,Saturday,TRUE,15,2010,8:39,1041,Men
Eggs,Dairy,134,9/3/2022,Saturday,TRUE,6,804,13:48,1041,Men
Butter,Dairy,285,9/3/2022,Saturday,TRUE,18,5130,13:58,1078,Women
Butter,Dairy,285,9/3/2022,Saturday,TRUE,18,5130,12:23,1078,Men
Jam jar,Grocery,350,9/3/2022,Saturday,TRUE,2,700,9:10,1091,Women
Jam jar,Grocery,350,9/3/2022,Saturday,TRUE,3,1050,14:11,1091,Women
Eggs,Dairy,134,9/3/2022,Saturday,TRUE,13,1742,10:46,1041,Men
Jam jar,Grocery,350,9/3/2022,Saturday,TRUE,1,350,16:27,1091,Men
Eggs,Dairy,134,9/3/2022,Saturday,TRUE,14,1876,10:01,1041,Men
Milk packet,Dairy,80,9/3/2022,Saturday,TRUE,15,1200,7:15,1022,Men
Milk packet,Dairy,80,9/3/2022,Saturday,TRUE,7,560,9:09,1022,Men
Bread package,Bakery,55,9/3/2022,Saturday,TRUE,7,385,13:16,1011,Men
Eggs,Dairy,134,9/3/2022,Saturday,TRUE,3,402,14:53,1041,Men
Milk packet,Dairy,80,9/3/2022,Saturday,TRUE,12,960,7:49,1022,Men
Butter,Dairy,285,9/3/2022,Saturday,TRUE,3,855,7:01,1078,Men
Milk packet,Dairy,80,9/3/2022,Saturday,TRUE,14,1120,9:44,1022,Women
Milk packet,Dairy,80,9/3/2022,Saturday,TRUE,7,560,14:46,1022,Men
Eggs,Dairy,134,9/3/2022,Saturday,TRUE,13,1742,7:38,1041,Men
Bread package,Bakery,55,9/3/2022,Saturday,TRUE,14,770,14:16,1011,Women
Milk packet,Dairy,80,9/3/2022,Saturday,TRUE,15,1200,9:37,1022,Women
Butter,Dairy,285,9/3/2022,Saturday,TRUE,10,2850,13:22,1078,Men
Milk packet,Dairy,80,9/3/2022,Saturday,TRUE,18,1440,8:48,1022,Women
Milk packet,Dairy,80,9/3/2022,Saturday,TRUE,7,560,7:10,1022,Men
Butter,Dairy,285,9/3/2022,Saturday,TRUE,6,1710,10:35,1078,Men
Jam jar,Grocery,350,9/3/2022,Saturday,TRUE,6,2100,14:23,1091,Women
Eggs,Dairy,134,9/3/2022,Saturday,TRUE,5,670,16:22,1041,Men
Eggs,Dairy,134,9/3/2022,Saturday,TRUE,1,134,19:10,1041,Men
Bread package,Bakery,55,9/3/2022,Saturday,TRUE,4,220,15:17,1011,Men
Jam jar,Grocery,350,9/3/2022,Saturday,TRUE,16,5600,9:33,1091,Men
Eggs,Dairy,134,9/3/2022,Saturday,TRUE,14,1876,10:56,1041,Men
Jam jar,Grocery,350,9/3/2022,Saturday,TRUE,13,4550,12:35,1091,Women
Jam jar,Grocery,350,9/3/2022,Saturday,TRUE,16,5600,15:18,1091,Women
Bread package,Bakery,55,9/3/2022,Saturday,TRUE,5,275,9:06,1011,Men
Jam jar,Grocery,350,9/3/2022,Saturday,TRUE,15,5250,12:33,1091,Women
Milk packet,Dairy,80,9/3/2022,Saturday,TRUE,1,80,7:46,1022,Men
Eggs,Dairy,134,9/3/2022,Saturday,TRUE,18,2412,12:42,1041,Men
Eggs,Dairy,134,9/3/2022,Saturday,TRUE,8,1072,8:33,1041,Men
Eggs,Dairy,134,9/3/2022,Saturday,TRUE,5,670,10:24,1041,Men
Butter,Dairy,285,9/3/2022,Saturday,TRUE,14,3990,16:30,1078,Women
Eggs,Dairy,134,9/3/2022,Saturday,TRUE,4,536,12:55,1041,Men
Milk packet,Dairy,80,9/3/2022,Saturday,TRUE,10,800,7:51,1022,Women
Bread package,Bakery,55,9/3/2022,Saturday,TRUE,15,825,13:11,1011,Women
Milk packet,Dairy,80,9/3/2022,Saturday,TRUE,15,1200,7:37,1022,Men
Eggs,Dairy,134,9/3/2022,Saturday,TRUE,4,536,14:10,1041,Men
Jam jar,Grocery,350,9/3/2022,Saturday,TRUE,7,2450,14:14,1091,Women
Eggs,Dairy,134,9/3/2022,Saturday,TRUE,12,1608,16:03,1041,Women
Eggs,Dairy,134,9/3/2022,Saturday,TRUE,1,134,12:02,1041,Men
Bread package,Bakery,55,9/3/2022,Saturday,TRUE,5,275,15:53,1011,Men
Milk packet,Dairy,80,9/3/2022,Saturday,TRUE,15,1200,15:35,1022,Women
Butter,Dairy,285,9/3/2022,Saturday,TRUE,15,4275,18:18,1078,Men
Bread package,Bakery,55,9/3/2022,Saturday,TRUE,18,990,8:07,1011,Men
Eggs,Dairy,134,9/3/2022,Saturday,TRUE,10,1340,8:24,1041,Women
Milk packet,Dairy,80,9/4/2022,Sunday,TRUE,11,880,7:00,1022,Women
Jam jar,Grocery,350,9/4/2022,Sunday,TRUE,19,6650,13:49,1091,Men
Eggs,Dairy,134,9/4/2022,Sunday,TRUE,18,2412,15:47,1041,Women
Butter,Dairy,285,9/4/2022,Sunday,TRUE,9,2565,8:31,1078,Women
Butter,Dairy,285,9/4/2022,Sunday,TRUE,10,2850,19:56,1078,Men
Butter,Dairy,285,9/4/2022,Sunday,TRUE,7,1995,12:04,1078,Women
Butter,Dairy,285,9/4/2022,Sunday,TRUE,10,2850,18:53,1078,Women
Eggs,Dairy,134,9/4/2022,Sunday,TRUE,14,1876,7:24,1041,Men
Milk packet,Dairy,80,9/4/2022,Sunday,TRUE,19,1520,9:00,1022,Women
Butter,Dairy,285,9/4/2022,Sunday,TRUE,18,5130,19:07,1078,Men
Eggs,Dairy,134,9/4/2022,Sunday,TRUE,10,1340,17:08,1041,Men
Eggs,Dairy,134,9/4/2022,Sunday,TRUE,11,1474,9:01,1041,Men
Milk packet,Dairy,80,9/4/2022,Sunday,TRUE,13,1040,12:37,1022,Men
Milk packet,Dairy,80,9/4/2022,Sunday,TRUE,15,1200,8:34,1022,Women
Milk packet,Dairy,80,9/4/2022,Sunday,TRUE,4,320,7:27,1022,Men
Jam jar,Grocery,350,9/4/2022,Sunday,TRUE,7,2450,16:15,1091,Women
Milk packet,Dairy,80,9/4/2022,Sunday,TRUE,13,1040,11:37,1022,Men
Butter,Dairy,285,9/4/2022,Sunday,TRUE,7,1995,16:29,1078,Men
Eggs,Dairy,134,9/4/2022,Sunday,TRUE,16,2144,10:19,1041,Women
Eggs,Dairy,134,9/4/2022,Sunday,TRUE,8,1072,19:21,1041,Men
Bread package,Bakery,55,9/4/2022,Sunday,TRUE,9,495,13:41,1011,Women
Bread package,Bakery,55,9/4/2022,Sunday,TRUE,14,770,10:55,1011,Women
Milk packet,Dairy,80,9/4/2022,Sunday,TRUE,13,1040,7:05,1022,Women
Milk packet,Dairy,80,9/4/2022,Sunday,TRUE,13,1040,8:02,1022,Women
Butter,Dairy,285,9/4/2022,Sunday,TRUE,8,2280,7:27,1078,Women
Milk packet,Dairy,80,9/4/2022,Sunday,TRUE,12,960,9:10,1022,Men
Milk packet,Dairy,80,9/4/2022,Sunday,TRUE,11,880,7:53,1022,Women
Milk packet,Dairy,80,9/4/2022,Sunday,TRUE,1,80,7:19,1022,Women
Butter,Dairy,285,9/4/2022,Sunday,TRUE,6,1710,8:19,1078,Men
Milk packet,Dairy,80,9/4/2022,Sunday,TRUE,11,880,14:18,1022,Men
Bread package,Bakery,55,9/4/2022,Sunday,TRUE,7,385,10:52,1011,Women
Bread package,Bakery,55,9/4/2022,Sunday,TRUE,13,715,8:22,1011,Men
Eggs,Dairy,134,9/4/2022,Sunday,TRUE,1,134,17:25,1041,Men
Milk packet,Dairy,80,9/4/2022,Sunday,TRUE,6,480,8:47,1022,Men
Bread package,Bakery,55,9/4/2022,Sunday,TRUE,3,165,19:24,1011,Men
Bread package,Bakery,55,9/4/2022,Sunday,TRUE,4,220,12:19,1011,Men
Milk packet,Dairy,80,9/4/2022,Sunday,TRUE,13,1040,9:40,1022,Women
Butter,Dairy,285,9/4/2022,Sunday,TRUE,16,4560,13:53,1078,Men
Eggs,Dairy,134,9/4/2022,Sunday,TRUE,13,1742,11:24,1041,Men
Butter,Dairy,285,9/4/2022,Sunday,TRUE,3,855,18:42,1078,Women
Jam jar,Grocery,350,9/4/2022,Sunday,TRUE,2,700,18:02,1091,Women
Bread package,Bakery,55,9/4/2022,Sunday,TRUE,11,605,12:11,1011,Men
Milk packet,Dairy,80,9/4/2022,Sunday,TRUE,11,880,9:46,1022,Men
Jam jar,Grocery,350,9/4/2022,Sunday,TRUE,8,2800,11:10,1091,Men
Bread package,Bakery,55,9/4/2022,Sunday,TRUE,16,880,12:58,1011,Men
Butter,Dairy,285,9/4/2022,Sunday,TRUE,19,5415,13:59,1078,Men
Bread package,Bakery,55,9/4/2022,Sunday,TRUE,5,275,19:50,1011,Men
Jam jar,Grocery,350,9/4/2022,Sunday,TRUE,6,2100,15:13,1091,Women
Eggs,Dairy,134,9/4/2022,Sunday,TRUE,15,2010,12:21,1041,Men
Butter,Dairy,285,9/4/2022,Sunday,TRUE,4,1140,8:24,1078,Men
Milk packet,Dairy,80,9/4/2022,Sunday,TRUE,1,80,7:09,1022,Women
Jam jar,Grocery,350,9/4/2022,Sunday,TRUE,9,3150,17:43,1091,Men
Eggs,Dairy,134,9/4/2022,Sunday,TRUE,12,1608,12:00,1041,Men
Bread package,Bakery,55,9/4/2022,Sunday,TRUE,4,220,13:43,1011,Women
Bread package,Bakery,55,9/4/2022,Sunday,TRUE,16,880,9:01,1011,Men
Jam jar,Grocery,350,9/4/2022,Sunday,TRUE,13,4550,8:37,1091,Women
Milk packet,Dairy,80,9/4/2022,Sunday,TRUE,9,720,9:16,1022,Men
Butter,Dairy,285,9/4/2022,Sunday,TRUE,5,1425,14:32,1078,Men
Eggs,Dairy,134,9/4/2022,Sunday,TRUE,5,670,18:27,1041,Men
Bread package,Bakery,55,9/4/2022,Sunday,TRUE,14,770,16:22,1011,Men
Bread package,Bakery,55,9/4/2022,Sunday,TRUE,10,550,19:13,1011,Men
Jam jar,Grocery,350,9/4/2022,Sunday,TRUE,11,3850,16:02,1091,Women
Milk packet,Dairy,80,9/4/2022,Sunday,TRUE,9,720,7:20,1022,Women
Eggs,Dairy,134,9/4/2022,Sunday,TRUE,13,1742,10:18,1041,Men
Eggs,Dairy,134,9/4/2022,Sunday,TRUE,17,2278,7:44,1041,Men
Bread package,Bakery,55,9/4/2022,Sunday,TRUE,5,275,17:02,1011,Women
Butter,Dairy,285,9/4/2022,Sunday,TRUE,10,2850,14:33,1078,Women
Butter,Dairy,285,9/4/2022,Sunday,TRUE,6,1710,19:02,1078,Women
Milk packet,Dairy,80,9/4/2022,Sunday,TRUE,18,1440,7:36,1022,Women
Jam jar,Grocery,350,9/4/2022,Sunday,TRUE,10,3500,8:54,1091,Women
Eggs,Dairy,134,9/4/2022,Sunday,TRUE,10,1340,16:25,1041,Men
Butter,Dairy,285,9/4/2022,Sunday,TRUE,8,2280,9:22,1078,Men
Bread package,Bakery,55,9/4/2022,Sunday,TRUE,19,1045,14:32,1011,Men
Eggs,Dairy,134,9/4/2022,Sunday,TRUE,16,2144,8:19,1041,Women
Jam jar,Grocery,350,9/4/2022,Sunday,TRUE,13,4550,14:26,1091,Women
Jam jar,Grocery,350,9/4/2022,Sunday,TRUE,8,2800,14:21,1091,Women
Milk packet,Dairy,80,9/4/2022,Sunday,TRUE,14,1120,8:41,1022,Women
Bread package,Bakery,55,9/4/2022,Sunday,TRUE,6,330,14:23,1011,Women
Milk packet,Dairy,80,9/4/2022,Sunday,TRUE,8,640,9:24,1022,Women
Milk packet,Dairy,80,9/4/2022,Sunday,TRUE,7,560,8:56,1022,Women
Eggs,Dairy,134,9/4/2022,Sunday,TRUE,10,1340,10:27,1041,Men
Milk packet,Dairy,80,9/4/2022,Sunday,TRUE,12,960,12:56,1022,Women
Eggs,Dairy,134,9/4/2022,Sunday,TRUE,5,670,7:47,1041,Men
Bread package,Bakery,55,9/4/2022,Sunday,TRUE,11,605,17:12,1011,Women
Butter,Dairy,285,9/4/2022,Sunday,TRUE,15,4275,8:05,1078,Women
Milk packet,Dairy,80,9/4/2022,Sunday,TRUE,17,1360,7:37,1022,Men
Milk packet,Dairy,80,9/4/2022,Sunday,TRUE,2,160,18:19,1022,Men
Jam jar,Grocery,350,9/4/2022,Sunday,TRUE,2,700,18:59,1091,Men
Butter,Dairy,285,9/4/2022,Sunday,TRUE,12,3420,9:50,1078,Men
Milk packet,Dairy,80,9/4/2022,Sunday,TRUE,1,80,9:00,1022,Men
Eggs,Dairy,134,9/4/2022,Sunday,TRUE,12,1608,9:16,1041,Men
Butter,Dairy,285,9/4/2022,Sunday,TRUE,16,4560,18:13,1078,Women
Jam jar,Grocery,350,9/4/2022,Sunday,TRUE,2,700,19:57,1091,Women
Milk packet,Dairy,80,9/4/2022,Sunday,TRUE,5,400,9:53,1022,Women
Milk packet,Dairy,80,9/4/2022,Sunday,TRUE,18,1440,9:38,1022,Women
Bread package,Bakery,55,9/4/2022,Sunday,TRUE,11,605,18:37,1011,Women
Eggs,Dairy,134,9/4/2022,Sunday,TRUE,2,268,11:24,1041,Women
Eggs,Dairy,134,9/4/2022,Sunday,TRUE,10,1340,8:22,1041,Men
Eggs,Dairy,134,9/4/2022,Sunday,TRUE,12,1608,13:48,1041,Women
Eggs,Dairy,134,9/5/2022,Monday,FALSE,7,938,7:36,1041,Women
Jam jar,Grocery,350,9/5/2022,Monday,FALSE,12,4200,8:17,1091,Women
Bread package,Bakery,55,9/5/2022,Monday,FALSE,2,110,9:46,1011,Men
Jam jar,Grocery,350,9/5/2022,Monday,FALSE,7,2450,17:15,1091,Women
Bread package,Bakery,55,9/5/2022,Monday,FALSE,4,220,7:45,1011,Men
Jam jar,Grocery,350,9/5/2022,Monday,FALSE,4,1400,19:00,1091,Women
Jam jar,Grocery,350,9/5/2022,Monday,FALSE,1,350,16:20,1091,Women
Bread package,Bakery,55,9/5/2022,Monday,FALSE,1,55,19:03,1011,Women
Milk packet,Dairy,80,9/5/2022,Monday,FALSE,16,1280,8:43,1022,Men
Bread package,Bakery,55,9/5/2022,Monday,FALSE,4,220,18:22,1011,Women
Milk packet,Dairy,80,9/5/2022,Monday,FALSE,5,400,8:32,1022,Men
Butter,Dairy,285,9/5/2022,Monday,FALSE,8,2280,14:05,1078,Men
Eggs,Dairy,134,9/5/2022,Monday,FALSE,3,402,17:37,1041,Men
Eggs,Dairy,134,9/5/2022,Monday,FALSE,10,1340,12:11,1041,Women
Bread package,Bakery,55,9/5/2022,Monday,FALSE,12,660,13:49,1011,Men
Milk packet,Dairy,80,9/5/2022,Monday,FALSE,19,1520,8:04,1022,Women
Eggs,Dairy,134,9/5/2022,Monday,FALSE,17,2278,7:46,1041,Men
Jam jar,Grocery,350,9/5/2022,Monday,FALSE,10,3500,10:32,1091,Men
Eggs,Dairy,134,9/5/2022,Monday,FALSE,11,1474,12:38,1041,Men
Butter,Dairy,285,9/5/2022,Monday,FALSE,8,2280,8:53,1078,Women
Jam jar,Grocery,350,9/6/2022,Tuesday,FALSE,16,5600,15:09,1091,Women
Bread package,Bakery,55,9/6/2022,Tuesday,FALSE,5,275,11:18,1011,Women
Butter,Dairy,285,9/6/2022,Tuesday,FALSE,18,5130,17:39,1078,Women
Jam jar,Grocery,350,9/6/2022,Tuesday,FALSE,4,1400,13:19,1091,Women
Jam jar,Grocery,350,9/6/2022,Tuesday,FALSE,19,6650,14:20,1091,Women
Butter,Dairy,285,9/6/2022,Tuesday,FALSE,10,2850,15:29,1078,Women
Butter,Dairy,285,9/6/2022,Tuesday,FALSE,10,2850,14:42,1078,Men
Bread package,Bakery,55,9/6/2022,Tuesday,FALSE,18,990,9:02,1011,Women
Jam jar,Grocery,350,9/6/2022,Tuesday,FALSE,15,5250,9:45,1091,Men
Milk packet,Dairy,80,9/6/2022,Tuesday,FALSE,5,400,8:54,1022,Women
Milk packet,Dairy,80,9/6/2022,Tuesday,FALSE,10,800,9:04,1022,Men
Jam jar,Grocery,350,9/6/2022,Tuesday,FALSE,4,1400,13:06,1091,Women
Bread package,Bakery,55,9/6/2022,Tuesday,FALSE,11,605,7:50,1011,Women
Butter,Dairy,285,9/6/2022,Tuesday,FALSE,18,5130,9:01,1078,Men
Eggs,Dairy,134,9/6/2022,Tuesday,FALSE,3,402,15:55,1041,Men
Eggs,Dairy,134,9/6/2022,Tuesday,FALSE,8,1072,9:15,1041,Men
Milk packet,Dairy,80,9/6/2022,Tuesday,FALSE,11,880,7:00,1022,Men
Milk packet,Dairy,80,9/6/2022,Tuesday,FALSE,19,1520,8:52,1022,Women
Butter,Dairy,285,9/6/2022,Tuesday,FALSE,17,4845,12:52,1078,Men
Eggs,Dairy,134,9/6/2022,Tuesday,FALSE,6,804,9:47,1041,Women
Milk packet,Dairy,80,9/6/2022,Tuesday,FALSE,15,1200,8:48,1022,Women
Jam jar,Grocery,350,9/6/2022,Tuesday,FALSE,7,2450,17:44,1091,Women
Bread package,Bakery,55,9/6/2022,Tuesday,FALSE,14,770,16:47,1011,Men
Jam jar,Grocery,350,9/6/2022,Tuesday,FALSE,18,6300,12:07,1091,Men
Milk packet,Dairy,80,9/6/2022,Tuesday,FALSE,13,1040,8:43,1022,Women
Jam jar,Grocery,350,9/6/2022,Tuesday,FALSE,14,4900,11:44,1091,Men
Eggs,Dairy,134,9/6/2022,Tuesday,FALSE,15,2010,10:54,1041,Men
Eggs,Dairy,134,9/6/2022,Tuesday,FALSE,10,1340,9:52,1041,Men
Eggs,Dairy,134,9/6/2022,Tuesday,FALSE,3,402,7:52,1041,Men
Milk packet,Dairy,80,9/6/2022,Tuesday,FALSE,2,160,18:03,1022,Men
